name,link,Default Branch,SHA,Stargazers Count,Forks Count,Maven,Gradle,Travis CI,Github Actions
wso2-attic/carbon-identity,https://github.com/wso2-attic/carbon-identity,master,7a421e21941ff48914115f772d01027766f556a5,19,259,components/agents/mobile-proxy-idp/Android/android-idp-sdk-master/pom.xml;components/agents/org.wso2.carbon.identity.entitlement.filter/pom.xml;components/agents/org.wso2.carbon.identity.entitlement.proxy/pom.xml;components/agents/org.wso2.carbon.identity.sso.agent/pom.xml;components/agents/pom.xml;components/application-authenticators/org.wso2.carbon.identity.application.authenticator.basicauth/pom.xml;components/application-authenticators/org.wso2.carbon.identity.application.authenticator.fido/pom.xml;components/application-authenticators/org.wso2.carbon.identity.application.authenticator.iwa/pom.xml;components/application-authenticators/org.wso2.carbon.identity.application.authenticator.oidc/pom.xml;components/application-authenticators/org.wso2.carbon.identity.application.authenticator.openid/pom.xml;components/application-authenticators/org.wso2.carbon.identity.application.authenticator.passive.sts/pom.xml;components/application-authenticators/org.wso2.carbon.identity.application.authenticator.requestpath.basicauth/pom.xml;components/application-authenticators/org.wso2.carbon.identity.application.authenticator.requestpath.oauth/pom.xml;components/application-authenticators/org.wso2.carbon.identity.application.authenticator.samlsso/pom.xml;components/application-authenticators/org.wso2.carbon.identity.application.authenticator.samlsso/pom.xml~;components/application-authenticators/org.wso2.carbon.identity.application.authenticator.social/pom.xml;components/application-authenticators/pom.xml;components/application-mgt/org.wso2.carbon.identity.application.common/pom.xml;components/application-mgt/org.wso2.carbon.identity.application.mgt.ui/pom.xml;components/application-mgt/org.wso2.carbon.identity.application.mgt/pom.xml;components/application-mgt/pom.xml;components/authentication-framework/org.wso2.carbon.identity.application.authentication.endpoint.util/pom.xml;components/authentication-framework/org.wso2.carbon.identity.application.authentication.endpoint/pom.xml;components/authentication-framework/org.wso2.carbon.identity.application.authentication.framework/pom.xml;components/authentication-framework/pom.xml;components/carbon-authenticators/iwa-authenticator/org.wso2.carbon.identity.authenticator.iwa.ui/pom.xml;components/carbon-authenticators/iwa-authenticator/org.wso2.carbon.identity.authenticator.iwa/pom.xml;components/carbon-authenticators/iwa-authenticator/pom.xml;components/carbon-authenticators/mutual-ssl-authenticator/org.wso2.carbon.identity.authenticator.mutualssl/pom.xml;components/carbon-authenticators/mutual-ssl-authenticator/pom.xml;components/carbon-authenticators/pom.xml;components/carbon-authenticators/saml2-sso-authenticator/org.wso2.carbon.identity.authenticator.saml2.sso.common/pom.xml;components/carbon-authenticators/saml2-sso-authenticator/org.wso2.carbon.identity.authenticator.saml2.sso.ui/pom.xml;components/carbon-authenticators/saml2-sso-authenticator/org.wso2.carbon.identity.authenticator.saml2.sso/pom.xml;components/carbon-authenticators/saml2-sso-authenticator/pom.xml;components/carbon-authenticators/signedjwt-authenticator/org.wso2.carbon.identity.authenticator.signedjwt/pom.xml;components/carbon-authenticators/signedjwt-authenticator/pom.xml;components/carbon-authenticators/thrift-authenticator/org.wso2.carbon.identity.authenticator.thrift/pom.xml;components/carbon-authenticators/thrift-authenticator/pom.xml;components/claim-mgt/org.wso2.carbon.claim.mgt.ui/pom.xml;components/claim-mgt/org.wso2.carbon.claim.mgt/pom.xml;components/claim-mgt/pom.xml;components/directory-server-manager/org.wso2.carbon.directory.server.manager.common/pom.xml;components/directory-server-manager/org.wso2.carbon.directory.server.manager.ui/pom.xml;components/directory-server-manager/org.wso2.carbon.directory.server.manager/pom.xml;components/directory-server-manager/pom.xml;components/entitlement/org.wso2.carbon.identity.entitlement.common/pom.xml;components/entitlement/org.wso2.carbon.identity.entitlement.ui/pom.xml;components/entitlement/org.wso2.carbon.identity.entitlement/pom.xml;components/entitlement/pom.xml;components/identity-core/org.wso2.carbon.identity.base/pom.xml;components/identity-core/org.wso2.carbon.identity.core.ui/pom.xml;components/identity-core/org.wso2.carbon.identity.core/pom.xml;components/identity-core/pom.xml;components/identity-mgt/org.wso2.carbon.identity.mgt.ui/pom.xml;components/identity-mgt/org.wso2.carbon.identity.mgt/pom.xml;components/identity-mgt/pom.xml;components/idp-mgt/org.wso2.carbon.idp.mgt.ui/pom.xml;components/idp-mgt/org.wso2.carbon.idp.mgt/pom.xml;components/idp-mgt/pom.xml;components/notification-mgt/org.wso2.carbon.identity.notification.mgt.email/pom.xml;components/notification-mgt/org.wso2.carbon.identity.notification.mgt.json/pom.xml;components/notification-mgt/org.wso2.carbon.identity.notification.mgt/pom.xml;components/notification-mgt/pom.xml;components/oauth/org.wso2.carbon.identity.oauth.common/pom.xml;components/oauth/org.wso2.carbon.identity.oauth.endpoint/pom.xml;components/oauth/org.wso2.carbon.identity.oauth.ui/pom.xml;components/oauth/org.wso2.carbon.identity.oauth/pom.xml;components/oauth/pom.xml;components/openid/org.wso2.carbon.identity.provider/pom.xml;components/openid/pom.xml;components/policy-editor/org.wso2.carbon.policyeditor.ui/pom.xml;components/policy-editor/org.wso2.carbon.policyeditor/pom.xml;components/policy-editor/pom.xml;components/provisioning/org.wso2.carbon.identity.provisioning.connector.google/pom.xml;components/provisioning/org.wso2.carbon.identity.provisioning.connector.salesforce/pom.xml;components/provisioning/org.wso2.carbon.identity.provisioning.connector.scim/pom.xml;components/provisioning/org.wso2.carbon.identity.provisioning.connector.spml/pom.xml;components/provisioning/org.wso2.carbon.identity.provisioning/pom.xml;components/provisioning/pom.xml;components/scim/org.wso2.carbon.identity.scim.common/pom.xml;components/scim/org.wso2.carbon.identity.scim.provider/pom.xml;components/scim/org.wso2.carbon.identity.scim.ui/pom.xml;components/scim/pom.xml;components/security-mgt/org.wso2.carbon.security.mgt.ui/pom.xml;components/security-mgt/org.wso2.carbon.security.mgt/pom.xml;components/security-mgt/pom.xml;components/sso-saml/org.wso2.carbon.identity.sso.saml.common/pom.xml;components/sso-saml/org.wso2.carbon.identity.sso.saml.ui/pom.xml;components/sso-saml/org.wso2.carbon.identity.sso.saml/pom.xml;components/sso-saml/pom.xml;components/sts/org.wso2.carbon.identity.sts.mgt.ui/pom.xml;components/sts/org.wso2.carbon.identity.sts.mgt/pom.xml;components/sts/org.wso2.carbon.identity.sts.passive.ui/pom.xml;components/sts/org.wso2.carbon.identity.sts.passive/pom.xml;components/sts/org.wso2.carbon.identity.sts.store/pom.xml;components/sts/org.wso2.carbon.sts.ui/pom.xml;components/sts/org.wso2.carbon.sts/pom.xml;components/sts/pom.xml;components/tools/pom.xml;components/tools/samlsso-validator/org.wso2.carbon.identity.tools.saml.validator.ui/pom.xml;components/tools/samlsso-validator/org.wso2.carbon.identity.tools.saml.validator/pom.xml;components/tools/samlsso-validator/pom.xml;components/user-mgt/org.wso2.carbon.identity.account.mgt.menu.ui/pom.xml;components/user-mgt/org.wso2.carbon.identity.user.account.association/pom.xml;components/user-mgt/org.wso2.carbon.identity.user.profile.ui/pom.xml;components/user-mgt/org.wso2.carbon.identity.user.profile/pom.xml;components/user-mgt/org.wso2.carbon.identity.user.registration/pom.xml;components/user-mgt/org.wso2.carbon.um.ws.api/pom.xml;components/user-mgt/org.wso2.carbon.um.ws.service/pom.xml;components/user-mgt/org.wso2.carbon.user.mgt.common/pom.xml;components/user-mgt/org.wso2.carbon.user.mgt.ui/pom.xml;components/user-mgt/org.wso2.carbon.user.mgt.workflow.ui/pom.xml;components/user-mgt/org.wso2.carbon.user.mgt.workflow/pom.xml;components/user-mgt/org.wso2.carbon.user.mgt/pom.xml;components/user-mgt/pom.xml;components/user-store/org.wso2.carbon.identity.user.store.configuration.deployer/pom.xml;components/user-store/org.wso2.carbon.identity.user.store.configuration.ui/pom.xml;components/user-store/org.wso2.carbon.identity.user.store.configuration/pom.xml;components/user-store/org.wso2.carbon.identity.user.store.remote/pom.xml;components/user-store/org.wso2.carbon.ldap.server/pom.xml;components/user-store/org.wso2.carbon.user.cassandra/pom.xml;components/user-store/pom.xml;components/workflow-mgt/org.wso2.carbon.identity.workflow.impl.ui/pom.xml;components/workflow-mgt/org.wso2.carbon.identity.workflow.impl/pom.xml;components/workflow-mgt/org.wso2.carbon.identity.workflow.mgt.ui/pom.xml;components/workflow-mgt/org.wso2.carbon.identity.workflow.mgt/pom.xml;components/workflow-mgt/org.wso2.carbon.identity.workflow.template/pom.xml;components/workflow-mgt/pom.xml;features/agents/org.wso2.carbon.identity.sso.agent.server.feature/pom.xml;features/agents/pom.xml;features/application-authenticators/basic-auth/org.wso2.carbon.identity.application.authenticator.basicauth.server.feature/pom.xml;features/application-authenticators/basic-auth/pom.xml;features/application-authenticators/basicauth-request-path-auth/org.wso2.carbon.identity.application.authenticator.requestpath.basicauth.server.feature/pom.xml;features/application-authenticators/basicauth-request-path-auth/pom.xml;features/application-authenticators/fido/org.wso2.carbon.identity.application.authenticator.fido.server.feature/pom.xml;features/application-authenticators/fido/pom.xml;features/application-authenticators/iwa/org.wso2.carbon.identity.application.authenticator.iwa.server.feature/pom.xml;features/application-authenticators/iwa/pom.xml;features/application-authenticators/oauth-request-path-auth/org.wso2.carbon.identity.application.authenticator.requestpath.oauth.server.feature/pom.xml;features/application-authenticators/oauth-request-path-auth/pom.xml;features/application-authenticators/oidc/org.wso2.carbon.identity.application.authenticator.oidc.server.feature/pom.xml;features/application-authenticators/oidc/pom.xml;features/application-authenticators/openid/org.wso2.carbon.identity.application.authenticator.openid.server.feature/pom.xml;features/application-authenticators/openid/pom.xml;features/application-authenticators/passive-sts/org.wso2.carbon.identity.application.authenticator.passive.sts.server.feature/pom.xml;features/application-authenticators/passive-sts/pom.xml;features/application-authenticators/pom.xml;features/application-authenticators/samlsso/org.wso2.carbon.identity.application.authenticator.samlsso.server.feature/pom.xml;features/application-authenticators/samlsso/pom.xml;features/application-authenticators/social/org.wso2.carbon.identity.application.authenticator.social.server.feature/pom.xml;features/application-authenticators/social/pom.xml;features/application-mgt/org.wso2.carbon.identity.application.mgt.feature/pom.xml;features/application-mgt/org.wso2.carbon.identity.application.mgt.server.feature/pom.xml;features/application-mgt/org.wso2.carbon.identity.application.mgt.ui.feature/pom.xml;features/application-mgt/pom.xml;features/authentication-framework/org.wso2.carbon.identity.application.authentication.framework.server.feature/pom.xml;features/authentication-framework/pom.xml;features/carbon-authenticators/iwa-authenticator/org.wso2.carbon.identity.authenticator.iwa.feature/pom.xml;features/carbon-authenticators/iwa-authenticator/org.wso2.carbon.identity.authenticator.iwa.server.feature/pom.xml;features/carbon-authenticators/iwa-authenticator/org.wso2.carbon.identity.authenticator.iwa.ui.feature/pom.xml;features/carbon-authenticators/iwa-authenticator/pom.xml;features/carbon-authenticators/mutual-ssl-authenticator/org.wso2.carbon.identity.authenticator.mutualssl.feature/pom.xml;features/carbon-authenticators/mutual-ssl-authenticator/pom.xml;features/carbon-authenticators/pom.xml;features/carbon-authenticators/saml2-sso-authenticator/org.wso2.carbon.identity.authenticator.saml2.sso.feature/pom.xml;features/carbon-authenticators/saml2-sso-authenticator/org.wso2.carbon.identity.authenticator.saml2.sso.server.feature/pom.xml;features/carbon-authenticators/saml2-sso-authenticator/org.wso2.carbon.identity.authenticator.saml2.sso.ui.feature/pom.xml;features/carbon-authenticators/saml2-sso-authenticator/pom.xml;features/carbon-authenticators/thrift-authenticator/org.wso2.carbon.identity.thrift.authentication.feature/pom.xml;features/carbon-authenticators/thrift-authenticator/pom.xml;features/categories/agents/pom.xml;features/categories/authorization/pom.xml;features/categories/carbon-authenticators/pom.xml;features/categories/inbound-authentication/pom.xml;features/categories/inbound-autheticators/pom.xml;features/categories/inbound-provisioning-connectors/pom.xml;features/categories/inbound-provisioning/pom.xml;features/categories/keystore-mgt/pom.xml;features/categories/notification-mgt/pom.xml;features/categories/outbound-authentication/pom.xml;features/categories/outbound-authenticators/pom.xml;features/categories/outbound-provisioning-connectors/pom.xml;features/categories/outbound-provisioning/pom.xml;features/categories/pom.xml;features/categories/sts/pom.xml;features/categories/user-mgt/pom.xml;features/categories/workflow/pom.xml;features/claim-mgt/org.wso2.carbon.claim.mgt.feature/pom.xml;features/claim-mgt/org.wso2.carbon.claim.mgt.server.feature/pom.xml;features/claim-mgt/org.wso2.carbon.claim.mgt.ui.feature/pom.xml;features/claim-mgt/pom.xml;features/directory-server-manager/org.wso2.carbon.directory.service.mgr.feature/pom.xml;features/directory-server-manager/org.wso2.carbon.directory.service.mgr.server.feature/pom.xml;features/directory-server-manager/org.wso2.carbon.directory.service.mgr.ui.feature/pom.xml;features/directory-server-manager/pom.xml;features/identity-core/org.wso2.carbon.identity.core.feature/pom.xml;features/identity-core/org.wso2.carbon.identity.core.server.feature/pom.xml;features/identity-core/org.wso2.carbon.identity.core.ui.feature/pom.xml;features/identity-core/pom.xml;features/identity-mgt/org.wso2.carbon.identity.mgt.feature/pom.xml;features/identity-mgt/org.wso2.carbon.identity.mgt.server.feature/pom.xml;features/identity-mgt/org.wso2.carbon.identity.mgt.ui.feature/pom.xml;features/identity-mgt/pom.xml;features/idp-mgt/org.wso2.carbon.idp.mgt.feature/pom.xml;features/idp-mgt/org.wso2.carbon.idp.mgt.server.feature/pom.xml;features/idp-mgt/org.wso2.carbon.idp.mgt.ui.feature/pom.xml;features/idp-mgt/pom.xml;features/notification-mgt/org.wso2.carbon.identity.notification.mgt.feature/pom.xml;features/notification-mgt/org.wso2.carbon.identity.notification.mgt.server.feature/pom.xml;features/notification-mgt/pom.xml;features/oauth/org.wso2.carbon.identity.oauth.common.feature/pom.xml;features/oauth/org.wso2.carbon.identity.oauth.feature/pom.xml;features/oauth/org.wso2.carbon.identity.oauth.server.feature/pom.xml;features/oauth/org.wso2.carbon.identity.oauth.ui.feature/pom.xml;features/oauth/pom.xml;features/openid/org.wso2.carbon.identity.provider.server.feature/pom.xml;features/openid/pom.xml;features/provisioning/org.wso2.carbon.identity.provisioning.connector.google.server.feature/pom.xml;features/provisioning/org.wso2.carbon.identity.provisioning.connector.salesforce.server.feature/pom.xml;features/provisioning/org.wso2.carbon.identity.provisioning.connector.scim.server.feature/pom.xml;features/provisioning/org.wso2.carbon.identity.provisioning.connector.spml.server.feature/pom.xml;features/provisioning/org.wso2.carbon.identity.provisioning.server.feature/pom.xml;features/provisioning/pom.xml;features/scim/org.wso2.carbon.identity.scim.common.feature/pom.xml;features/scim/org.wso2.carbon.identity.scim.feature/pom.xml;features/scim/org.wso2.carbon.identity.scim.provider.feature/pom.xml;features/scim/org.wso2.carbon.identity.scim.ui.feature/pom.xml;features/scim/pom.xml;features/security-mgt/org.wso2.carbon.security.mgt.feature/pom.xml;features/security-mgt/org.wso2.carbon.security.mgt.server.feature/pom.xml;features/security-mgt/org.wso2.carbon.security.mgt.ui.feature/pom.xml;features/security-mgt/pom.xml;features/sso-saml/org.wso2.carbon.identity.sso.saml.feature/pom.xml;features/sso-saml/org.wso2.carbon.identity.sso.saml.server.feature/pom.xml;features/sso-saml/org.wso2.carbon.identity.sso.saml.ui.feature/pom.xml;features/sso-saml/pom.xml;features/sts/org.wso2.carbon.identity.sts.mgt.feature/pom.xml;features/sts/org.wso2.carbon.identity.sts.mgt.server.feature/pom.xml;features/sts/org.wso2.carbon.identity.sts.mgt.ui.feature/pom.xml;features/sts/org.wso2.carbon.identity.sts.passive.feature/pom.xml;features/sts/org.wso2.carbon.identity.sts.passive.server.feature/pom.xml;features/sts/org.wso2.carbon.identity.sts.passive.ui.feature/pom.xml;features/sts/org.wso2.carbon.sts.feature/pom.xml;features/sts/org.wso2.carbon.sts.server.feature/pom.xml;features/sts/org.wso2.carbon.sts.ui.feature/pom.xml;features/sts/pom.xml;features/tools/org.wso2.carbon.identity.tools.saml.validator.feature/pom.xml;features/tools/org.wso2.carbon.identity.tools.saml.validator.server.feature/pom.xml;features/tools/org.wso2.carbon.identity.tools.saml.validator.ui.feature/pom.xml;features/tools/pom.xml;features/user-mgt/org.wso2.carbon.identity.account.mgt.menu.ui.feature/pom.xml;features/user-mgt/org.wso2.carbon.identity.user.account.association.feature/pom.xml;features/user-mgt/org.wso2.carbon.identity.user.account.association.server.feature/pom.xml;features/user-mgt/org.wso2.carbon.identity.user.account.association.ui.feature/pom.xml;features/user-mgt/org.wso2.carbon.identity.user.profile.feature/pom.xml;features/user-mgt/org.wso2.carbon.identity.user.profile.server.feature/pom.xml;features/user-mgt/org.wso2.carbon.identity.user.profile.ui.feature/pom.xml;features/user-mgt/org.wso2.carbon.identity.user.registration.feature/pom.xml;features/user-mgt/org.wso2.carbon.identity.user.registration.server.feature/pom.xml;features/user-mgt/org.wso2.carbon.identity.user.registration.ui.feature/pom.xml;features/user-mgt/org.wso2.carbon.ldap.server.feature/pom.xml;features/user-mgt/org.wso2.carbon.ldap.server.server.feature/pom.xml;features/user-mgt/org.wso2.carbon.um.ws.service.client.feature/pom.xml;features/user-mgt/org.wso2.carbon.um.ws.service.feature/pom.xml;features/user-mgt/org.wso2.carbon.um.ws.service.server.feature/pom.xml;features/user-mgt/org.wso2.carbon.user.mgt.feature/pom.xml;features/user-mgt/org.wso2.carbon.user.mgt.server.feature/pom.xml;features/user-mgt/org.wso2.carbon.user.mgt.ui.feature/pom.xml;features/user-mgt/org.wso2.carbon.user.mgt.workflow.feature/pom.xml;features/user-mgt/org.wso2.carbon.user.mgt.workflow.server.feature/pom.xml;features/user-mgt/org.wso2.carbon.user.mgt.workflow.ui.feature/pom.xml;features/user-mgt/pom.xml;features/workflow-mgt/org.wso2.carbon.identity.workflow.mgt.feature/pom.xml;features/workflow-mgt/org.wso2.carbon.identity.workflow.mgt.server.feature/pom.xml;features/workflow-mgt/org.wso2.carbon.identity.workflow.mgt.ui.feature/pom.xml;features/workflow-mgt/pom.xml;features/xacml/org.wso2.carbon.identity.xacml.feature/pom.xml;features/xacml/org.wso2.carbon.identity.xacml.filter.feature/pom.xml;features/xacml/org.wso2.carbon.identity.xacml.server.feature/pom.xml;features/xacml/org.wso2.carbon.identity.xacml.ui.feature/pom.xml;features/xacml/pom.xml;pom.xml;service-stubs/identity/org.wso2.carbon.claim.mgt.stub/pom.xml;service-stubs/identity/org.wso2.carbon.directory.server.manager.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.application.mgt.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.authenticator.fido.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.authenticator.iwa.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.authenticator.saml2.sso.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.authenticator.token.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.authenticator.webseal.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.entitlement.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.mgt.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.oauth.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.provider.openid.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.provider.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.scim.common.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.sso.saml.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.sts.mgt.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.sts.passive.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.tools.saml.validator.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.user.account.association.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.user.profile.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.user.registration.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.user.store.configuration.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.workflow.impl.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.workflow.mgt.bps.stub/pom.xml;service-stubs/identity/org.wso2.carbon.identity.workflow.mgt.stub/pom.xml;service-stubs/identity/org.wso2.carbon.idp.mgt.stub/pom.xml;service-stubs/identity/org.wso2.carbon.security.mgt.stub/pom.xml;service-stubs/identity/org.wso2.carbon.sts.stub/pom.xml;service-stubs/identity/org.wso2.carbon.um.ws.api.stub/pom.xml;service-stubs/identity/org.wso2.carbon.user.mgt.stub/pom.xml;service-stubs/identity/org.wso2.carbon.user.mgt.workflow.stub/pom.xml;service-stubs/identity/pom.xml;,,,
google/search-samples,https://github.com/google/search-samples,master,96d69e3e81a703f617ac286d5c127d6abb3b0940,544,259,,.settings/gradle/org.springsource.ide.eclipse.gradle.core.import.prefs;.settings/gradle/org.springsource.ide.eclipse.gradle.core.prefs;app-indexing-start/app/build.gradle;app-indexing-start/build.gradle;app-indexing-start/settings.gradle;app-indexing/app/build.gradle;app-indexing/build.gradle;app-indexing/settings.gradle;recipe-app-start/app/build.gradle;recipe-app-start/build.gradle;recipe-app-start/settings.gradle;search-action/app/build.gradle;search-action/build.gradle;search-action/settings.gradle;,,
Lovnx/micro-service,https://github.com/Lovnx/micro-service,master,06c57c89a0c63774b0cbe19def3ab86d095808b7,343,260,config-server/pom.xml;eureka-sever/pom.xml;feign/pom.xml;hystrix-dashboard/pom.xml;hystrix-feign/pom.xml;hystrix-ribbon/pom.xml;pom.xml;ribbon/pom.xml;service-A/pom.xml;service-B/pom.xml;service-B2/pom.xml;service-admin/pom.xml;sleuth/pom.xml;turbine/pom.xml;zuul/pom.xml;,,,
youxin11544/MVP-RxJava-Hybride,https://github.com/youxin11544/MVP-RxJava-Hybride,master,0a3cd1865e69b9a54c4369883607f90f3cbc81ba,858,260,,android_MVP_framwork/app/build.gradle;android_MVP_framwork/build.gradle;android_MVP_framwork/settings.gradle;,,
roman10/roman10-android-tutorial,https://github.com/roman10/roman10-android-tutorial,master,ae16a87940df683545dd6322e2597e01f4e1199b,312,261,,,,
telecapoland/jamendo-android,https://github.com/telecapoland/jamendo-android,master,6b31c7ba27441a79d4436a499b6c9c9301d21505,424,261,,,,
cn-ljb/rxjava_for_android,https://github.com/cn-ljb/rxjava_for_android,master,30ef3c6bd50eb65c8182391318adb2be5997b0d8,1070,261,,app/build.gradle;build.gradle;settings.gradle;,,
MithunTechnologiesDevOps/ant-standalone-application,https://github.com/MithunTechnologiesDevOps/ant-standalone-application,master,bf2eda94fc1d31b6cc72277cc6b3667410bbe2da,1,271,,,,
KiraKill/FuckMFS,https://github.com/KiraKill/FuckMFS,master,f6e80a8c7bef8ab37d9cfe468b9cc132f3576af5,66,277,,app/build.gradle;build.gradle;settings.gradle;,,
JavaTutorialNetwork/Tutorials,https://github.com/JavaTutorialNetwork/Tutorials,master,aa23452910f108f0dea63a58e92188b910d0047b,41,280,FileUploaderRESTService/pom.xml;GlassfishFormBasedAuthentication/pom.xml;JSPExample/pom.xml;JSPExample/target/m2e-wtp/web-resources/META-INF/maven/net.javatutorial.tutorials/JSPExample/pom.xml;ServletAnnotation/pom.xml;ServletFileUpload/pom.xml;ServletFileUpload/target/m2e-wtp/web-resources/META-INF/maven/net.javatutorial.tutorials/ServletFileUpload/pom.xml;ServletInfo/pom.xml;ServletPOSTExample/pom.xml;SimpleServlet/pom.xml;SpringBootExample/pom.xml;SpringImplementingControllers/pom.xml;,,,
CyanogenMod/android_packages_services_Telephony,https://github.com/CyanogenMod/android_packages_services_Telephony,cm-14.1,42087ba9ec809f8e31418eb188e1060064be66f6,10,281,,,,
BlueMor/Android-PullLayout,https://github.com/BlueMor/Android-PullLayout,master,dd2f4b51f99a1d6427a71fbbc9dcdffc2c128d39,873,282,,,,
waylife/RedEnvelopeAssistant,https://github.com/waylife/RedEnvelopeAssistant,master,c37636118e1c9a3d605f632aa209e164d9dae70f,573,283,,,,
long1eu/SpaceTabLayout,https://github.com/long1eu/SpaceTabLayout,master,94eeb750adac230474ab245189449dd7975ed2e9,1605,284,,build.gradle;demo/build.gradle;settings.gradle;spacetablayout/bintrayv1.gradle;spacetablayout/build.gradle;spacetablayout/installv1.gradle;,,
