name,link,Default Branch,SHA,Stargazers Count,Forks Count,Maven,Gradle,Travis CI,Github Actions,Maven Jacoco, Maven Cobertura,Maven Javadoc,Gradle Jacoco,Gradle Cobertura,Gradle Javadoc,Travis Codecov,Travis Jacoco, Travis Cobertura,Travis Javadoc,GA Codecov,GA Jacoco, GA Cobertura,GA Javadoc
MarkMjw/PullToRefresh,https://github.com/MarkMjw/PullToRefresh,master,a5e0bd4ce2c5ceb1d30b01d66fe434f14b08729b,697,326,,PullToRefresh/build.gradle;build.gradle;settings.gradle;,,,,,,,,,,,,,,,,
CyanogenMod/android_packages_apps_Camera,https://github.com/CyanogenMod/android_packages_apps_Camera,cm-10.2,4d28e5e2b1e9efbac8a8a3c34e20927d8243749c,304,326,,,,,,,,,,,,,,,,,,
caelum/vraptor4,https://github.com/caelum/vraptor4,master,593ce9ad60f9d38c360881b2132417c56b8cc093,345,326,pom.xml;vraptor-blank-project/pom.xml;vraptor-core/pom.xml;vraptor-musicjungle/pom.xml;,,.travis.yml;,,,,vraptor-core/pom.xml;,,,,,,,,,,,
MarkMjw/PullScrollView,https://github.com/MarkMjw/PullScrollView,master,0dbcbd2f4f17b4953f30a74d9481e1315e49e47e,862,327,,PullScrollView/build.gradle;build.gradle;settings.gradle;,,,,,,,,,,,,,,,,
apiman/apiman,https://github.com/apiman/apiman,master,fcf5c955d9bc92c2849411a5a65d39d950b44f79,687,327,common/auth/pom.xml;common/config/pom.xml;common/es/pom.xml;common/logging/core/pom.xml;common/logging/jboss-logging/pom.xml;common/logging/log4j2/pom.xml;common/logging/pom.xml;common/logging/slf4j/pom.xml;common/plugin/pom.xml;common/pom.xml;common/servlet/pom.xml;common/util/pom.xml;distro/conf/pom.xml;distro/data/pom.xml;distro/ddl/pom.xml;distro/keycloak/pom.xml;distro/pom.xml;distro/tomcat/pom.xml;distro/tools/pom.xml;distro/vertx/pom.xml;distro/wildfly/pom.xml;gateway/api/pom.xml;gateway/api/rest-impl/pom.xml;gateway/api/rest/pom.xml;gateway/engine/beans/pom.xml;gateway/engine/core/pom.xml;gateway/engine/es/pom.xml;gateway/engine/filesystem/pom.xml;gateway/engine/hazelcast/pom.xml;gateway/engine/influxdb/pom.xml;gateway/engine/ispn/pom.xml;gateway/engine/jdbc/pom.xml;gateway/engine/policies/pom.xml;gateway/engine/pom.xml;gateway/engine/prometheus/pom.xml;gateway/engine/redis/pom.xml;gateway/engine/storage-common/pom.xml;gateway/engine/vertx-eb-inmemory/pom.xml;gateway/engine/vertx-polling/pom.xml;gateway/engine/vertx-shareddata/pom.xml;gateway/platforms/pom.xml;gateway/platforms/servlet/pom.xml;gateway/platforms/vertx3/vertx3-common/pom.xml;gateway/platforms/vertx3/vertx3/pom.xml;gateway/platforms/war/micro/pom.xml;gateway/platforms/war/pom.xml;gateway/platforms/war/tomcat8/api/pom.xml;gateway/platforms/war/tomcat8/gateway/pom.xml;gateway/platforms/war/tomcat8/pom.xml;gateway/platforms/war/wildfly8/api/pom.xml;gateway/platforms/war/wildfly8/gateway/pom.xml;gateway/platforms/war/wildfly8/pom.xml;gateway/pom.xml;gateway/test/pom.xml;manager/api/beans/pom.xml;manager/api/config/pom.xml;manager/api/core/pom.xml;manager/api/es/pom.xml;manager/api/exceptions/pom.xml;manager/api/export-import/pom.xml;manager/api/gateway/pom.xml;manager/api/ispn/pom.xml;manager/api/jdbc/pom.xml;manager/api/jpa/pom.xml;manager/api/micro/pom.xml;manager/api/migrator/pom.xml;manager/api/pom.xml;manager/api/rest-impl/pom.xml;manager/api/rest/pom.xml;manager/api/security/pom.xml;manager/api/war/pom.xml;manager/api/war/tomcat8/pom.xml;manager/api/war/wildfly8/pom.xml;manager/pom.xml;manager/test/api/pom.xml;manager/test/api/src/test/resources/sample-data/custom-policy-plugin-v1/pom.xml;manager/test/api/src/test/resources/sample-data/custom-policy-plugin-v2/pom.xml;manager/test/api/src/test/resources/sample-data/deleted-policy-plugin-v1/pom.xml;manager/test/api/src/test/resources/sample-data/deleted-policy-plugin-v2/pom.xml;manager/test/pom.xml;manager/ui/pom.xml;manager/ui/war/pom.xml;manager/ui/war/tomcat8/pom.xml;manager/ui/war/wildfly8/pom.xml;migration-assistant/pom.xml;parent/pom.xml;pom.xml;sso/keycloak/extensions/pom.xml;sso/keycloak/pom.xml;sso/keycloak/theme/pom.xml;sso/pom.xml;test/common/pom.xml;test/policies/pom.xml;test/pom.xml;test/suite/pom.xml;tools/ddl/pom.xml;tools/dummy-last-module/pom.xml;tools/i18n/pom.xml;tools/jdbc/pom.xml;tools/ldap/pom.xml;tools/pom.xml;tools/server-all/pom.xml;tools/services/pom.xml;,,,.github/workflows/release.yaml;.github/workflows/trigger-docs-rebuild-redeploy.yml;.github/workflows/verify.yaml;,,,parent/pom.xml;pom.xml;,,,,,,,,,,,.github/workflows/verify.yaml;
event-storming/monolith,https://github.com/event-storming/monolith,master,da8d1b169947f26dac554a7458e7087e73c33e7e,4,328,pom.xml;,,,,,,,,,,,,,,,,,
I00I/push-notifications-sdk,https://github.com/I00I/push-notifications-sdk,master,ad54151bca5dbbf43c6963f0de904731db7efc8d,0,328,,,,,,,,,,,,,,,,,,
googlearchive/android-PictureInPicture,https://github.com/googlearchive/android-PictureInPicture,master,b4e5a04523081d95f3679106e771813f68a88dc8,1402,328,,app/build.gradle;build.gradle;kotlinApp/app/build.gradle;kotlinApp/build.gradle;kotlinApp/settings.gradle;settings.gradle;,,,,,,,,,,,,,,,,
chiclaim/AndroidAll,https://github.com/chiclaim/AndroidAll,master,fc5a7d8c10dff589ab2ca20d31f22619fbb3a196,1278,331,,android-archietecture/jetpack/jetpack-sample/app/build.gradle;android-archietecture/jetpack/jetpack-sample/build.gradle;android-archietecture/jetpack/jetpack-sample/settings.gradle;android-base/Gist/app/build.gradle;android-base/Gist/build.gradle;android-base/Gist/settings.gradle;android-base/NotificationDemo/build.gradle;android-base/ProguardDemo/app/build.gradle;android-base/ProguardDemo/build.gradle;android-base/ProguardDemo/settings.gradle;android-base/ViewBindingDemo/app/build.gradle;android-base/ViewBindingDemo/build.gradle;android-base/ViewBindingDemo/settings.gradle;android-custom-view/CustomViewCourse/app/build.gradle;android-custom-view/CustomViewCourse/build.gradle;android-custom-view/CustomViewCourse/settings.gradle;android-custom-view/RecyclerViewCourse/app/build.gradle;android-custom-view/RecyclerViewCourse/build.gradle;android-custom-view/RecyclerViewCourse/settings.gradle;android-fragment/fragment/build.gradle;android-framework/layout-inflater/build.gradle;android-gradle/app/build.gradle;android-gradle/build.gradle;android-gradle/hello.gradle;android-gradle/settings.gradle;android-ipc/app/build.gradle;android-ipc/build.gradle;android-ipc/settings.gradle;android-lib-butterknife/create-butterknife/annotation/build.gradle;android-lib-butterknife/create-butterknife/app/build.gradle;android-lib-butterknife/create-butterknife/build.gradle;android-lib-butterknife/create-butterknife/butterknife/build.gradle;android-lib-butterknife/create-butterknife/processor/build.gradle;android-lib-butterknife/create-butterknife/settings.gradle;android-lib-dagger2/dagger2-sample/app/build.gradle;android-lib-dagger2/dagger2-sample/build.gradle;android-lib-dagger2/dagger2-sample/settings.gradle;android-lib-retrofit/retrofit-sample/app/build.gradle;android-lib-retrofit/retrofit-sample/build.gradle;android-lib-retrofit/retrofit-sample/settings.gradle;android-lib-rxjava/rxjava-usecase/app/build.gradle;android-lib-rxjava/rxjava-usecase/build.gradle;android-lib-rxjava/rxjava-usecase/settings.gradle;android-ndk/AndroidNativeDemo/app/build.gradle;android-ndk/AndroidNativeDemo/build.gradle;android-ndk/AndroidNativeDemo/settings.gradle;android-optimization/app/build.gradle;android-optimization/build.gradle;android-optimization/settings.gradle;cross-platform-flutter/android_add_flutter/AndroidForFlutter/app/build.gradle;cross-platform-flutter/android_add_flutter/AndroidForFlutter/build.gradle;cross-platform-flutter/android_add_flutter/AndroidForFlutter/settings.gradle;cross-platform-flutter/flutter_app/android/app/build.gradle;cross-platform-flutter/flutter_app/android/build.gradle;cross-platform-flutter/flutter_app/android/settings.gradle;cross-platform-flutter/flutter_app_demo/android/app/build.gradle;cross-platform-flutter/flutter_app_demo/android/build.gradle;cross-platform-flutter/flutter_app_demo/android/settings.gradle;cross-platform-h5/android-h5-file-upload/app/build.gradle;cross-platform-h5/android-h5-file-upload/build.gradle;cross-platform-h5/android-h5-file-upload/settings.gradle;cross-platform-h5/android-interact-js/build.gradle;language-kotlin/kotlin-sample/coroutine-in-action/build.gradle;language-kotlin/kotlin-sample/coroutine-in-action/settings.gradle;language-kotlin/kotlin_coroutine/build.gradle;,,,,,,,,,,,,,,,,
polinema-mobile/2019-mobile02,https://github.com/polinema-mobile/2019-mobile02,master,3cf19f01d03f15933d45e470e4fa9192a9755185,0,332,,AndroidLifecycle/app/build.gradle;AndroidLifecycle/build.gradle;AndroidLifecycle/settings.gradle;TebakAngka/app/build.gradle;TebakAngka/build.gradle;TebakAngka/settings.gradle;,,,,,,,,,,,,,,,,
LuckyJayce/MVCHelper,https://github.com/LuckyJayce/MVCHelper,master,ca042539591982173b1fb3088178219ca0afe39f,1411,332,,app/build.gradle;build.gradle;buildsystem/config.gradle;buildsystem/library.gradle;mvccoolhelper/build.gradle;mvchelper_library/build.gradle;mvcpullrefshhelper/build.gradle;mvcswiperefreshhelper/build.gradle;mvcultrahelper/build.gradle;settings.gradle;,,,,,,,,build.gradle;,,,,,,,,
DependencyTrack/dependency-track,https://github.com/DependencyTrack/dependency-track,master,58dae19771324a323f3327af9a73d0633c0b4aab,1202,332,pom.xml;,,,.github/workflows/_meta-build.yaml;.github/workflows/ci-build.yaml;.github/workflows/ci-publish.yaml;.github/workflows/ci-release.yaml;.github/workflows/ci-test.yaml;.github/workflows/dependency-review.yaml;.github/workflows/lock.yaml;,,,,,,,,,,,,.github/workflows/ci-test.yaml;,,
v5developer/maven-framework-project,https://github.com/v5developer/maven-framework-project,master,fd8cdf88b06e368ef19f944b8d880dc1abdcf714,524,332,aimeizi-tutorials/pom.xml;cas-shiro-demo/cas-shiro-demo-app/pom.xml;cas-shiro-demo/cas-shiro-demo-server/pom.xml;cas-shiro-demo/pom.xml;commons-dbutils-tutorial/pom.xml;cxf-rest-ws/pom.xml;cxf-soap-ws/pom.xml;flex-todolist-example/flex-todolist-config-example/pom.xml;flex-todolist-example/flex-todolist-ria-example/pom.xml;flex-todolist-example/flex-todolist-web-example/pom.xml;flex-todolist-example/pom.xml;flyway-example/flyway-ant-example/pom.xml;flyway-example/flyway-java-example/pom.xml;flyway-example/flyway-maven-example/pom.xml;flyway-example/pom.xml;helloworld-osgi-example/pom.xml;hibernate-search-by-example/chapter1/pom.xml;hibernate-search-by-example/chapter2-mapping/pom.xml;hibernate-search-by-example/chapter2-xml/pom.xml;hibernate-search-by-example/chapter2/pom.xml;hibernate-search-by-example/chapter3-entitymanager/pom.xml;hibernate-search-by-example/chapter3/pom.xml;hibernate-search-by-example/chapter4/pom.xml;hibernate-search-by-example/chapter5/pom.xml;hibernate-search-by-example/chapter6/pom.xml;hibernate-search-by-example/chapter7/pom.xml;hibernate-search-example/hibernate-example/pom.xml;hibernate-search-example/hibernate-search-hibernate/pom.xml;hibernate-search-example/hibernate-search-jpa/pom.xml;hibernate-search-example/pom.xml;hibernate-tutorials/hibernate-helloworld-annotation-example/pom.xml;hibernate-tutorials/hibernate-helloworld-xml-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-concrete-class-annotation-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-concrete-class-xml-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-heirarchy-annotation-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-heirarchy-xml-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-subclass-annotation-example/pom.xml;hibernate-tutorials/hibernate-inheritance-table-per-subclass-xml-example/pom.xml;hibernate-tutorials/hibernate-many2many-annotation-example/pom.xml;hibernate-tutorials/hibernate-many2many-xml-example/pom.xml;hibernate-tutorials/hibernate-one2many-annotation-example/hibernate-one2many-annotationlist-example/pom.xml;hibernate-tutorials/hibernate-one2many-annotation-example/hibernate-one2many-annotationset-example/pom.xml;hibernate-tutorials/hibernate-one2many-annotation-example/pom.xml;hibernate-tutorials/hibernate-one2many-xml-example/hibernate-one2many-array-example/pom.xml;hibernate-tutorials/hibernate-one2many-xml-example/hibernate-one2many-bag-example/pom.xml;hibernate-tutorials/hibernate-one2many-xml-example/hibernate-one2many-list-example/pom.xml;hibernate-tutorials/hibernate-one2many-xml-example/hibernate-one2many-set-example/pom.xml;hibernate-tutorials/hibernate-one2many-xml-example/pom.xml;hibernate-tutorials/hibernate-one2one-annotation-example/pom.xml;hibernate-tutorials/hibernate-one2one-xml-example/pom.xml;hibernate-tutorials/hibernate-self-many2many-annotation-example/pom.xml;hibernate-tutorials/hibernate-self-one2many-annotation-example/pom.xml;hibernate-tutorials/pom.xml;jaxws-with-spring/pom.xml;jersey-jaxb-ws-example/pom.xml;jersey-restful-ws-example/pom.xml;json-tutorials/json-fastjson-example/pom.xml;json-tutorials/json-gson-example/pom.xml;json-tutorials/json-jackson-example/pom.xml;json-tutorials/json-json-simple-example/pom.xml;json-tutorials/pom.xml;maven-osgi-example/pom.xml;mvn-project-demo/pom.xml;mvn-project-demo/user-dao/pom.xml;mvn-project-demo/user-model/pom.xml;mvn-project-demo/user-service/pom.xml;mvn-project-demo/user-web/pom.xml;mybatis-spring/pom.xml;pom.xml;resteasy-ws-example/pom.xml;restful-javapatterns-and-bestpractices/Chapter01/helloworld/pom.xml;restful-javapatterns-and-bestpractices/Chapter02/entities/pom.xml;restful-javapatterns-and-bestpractices/Chapter03/exception-mapper/pom.xml;restful-javapatterns-and-bestpractices/Chapter03/jax-rs-bean-validation/pom.xml;restful-javapatterns-and-bestpractices/Chapter04/caching/pom.xml;restful-javapatterns-and-bestpractices/Chapter05/pagination/pom.xml;restful-javapatterns-and-bestpractices/Chapter05/ratelimiting/pom.xml;restful-javawebservices-security/chapter01/resteasy-examples/pom.xml;restful-javawebservices-security/chapter02/basic-authentication/resteasy-examples/pom.xml;restful-javawebservices-security/chapter02/client-cert-authentication/resteasy-examples/pom.xml;restful-javawebservices-security/chapter02/digest-authentication/resteasy-examples/pom.xml;restful-javawebservices-security/chapter03/annotations/resteasy-examples/pom.xml;restful-javawebservices-security/chapter03/resteasy-examples/pom.xml;restful-javawebservices-security/chapter04/CustomInterceptorsDemo/pom.xml;restful-javawebservices-security/chapter04/OAuthExample/discstore/pom.xml;restful-javawebservices-security/chapter04/OAuthExample/oauth-client/pom.xml;restful-javawebservices-security/chapter04/OAuthExample/oauth-server/pom.xml;restful-javawebservices-security/chapter04/token-grant/pom.xml;restful-javawebservices-security/chapter05/encryption/pom.xml;restful-javawebservices-security/chapter05/signatures/pom.xml;simple-osgi-webapp/pom.xml;simple-osgi-webapp/simple-osgi-bundle/pom.xml;simple-osgi-webapp/simple-osgi-servlet/pom.xml;spring-boot-example/pom.xml;spring-boot-helloworld/pom.xml;spring-cache-example/pom.xml;spring-data-example/pom.xml;spring-data-jpa-example/pom.xml;spring-example-mongodb/pom.xml;spring-flex-testdrive/pom.xml;spring-ibatis-example/pom.xml;spring-jdbc-tutorials/pom.xml;spring-mongodb-tutorial/pom.xml;spring-redis-tutorial/pom.xml;spring-security-demo/pom.xml;spring-security-examples/cas-server-with-ldap/pom.xml;spring-security-examples/spring-security-cas/pom.xml;spring-security-examples/spring-security-db/pom.xml;spring-security-examples/spring-security-ldap/pom.xml;spring-security-examples/spring-security-methodlevel-security/pom.xml;spring-security-tutorial/pom.xml;spring3-helloworld-example/pom.xml;spring3-javaconfig-example/pom.xml;spring3-javaconfig-import-example/pom.xml;spring3-jersey-restfull-example/pom.xml;spring3-jmx-example/pom.xml;spring3-mvc-simple/pom.xml;spring3-rest-example/pom.xml;spring3-rmi-example/pom.xml;spring3-rmi-httpinvoker-example/pom.xml;spring3-security-example/pom.xml;spring3-testng-example/pom.xml;spring4-hibernate4-example/pom.xml;springmvc-beginners-guide/Chapter 1/webstore/pom.xml;springmvc-beginners-guide/Chapter 10/webstore/pom.xml;springmvc-beginners-guide/Chapter 2/webstore/pom.xml;springmvc-beginners-guide/Chapter 3/webstore/pom.xml;springmvc-beginners-guide/Chapter 4/webstore/pom.xml;springmvc-beginners-guide/Chapter 5/webstore/pom.xml;springmvc-beginners-guide/Chapter 6/webstore/pom.xml;springmvc-beginners-guide/Chapter 7/webstore/pom.xml;springmvc-beginners-guide/Chapter 8/webstore/pom.xml;springmvc-beginners-guide/Chapter 9/Tiles/webstore/pom.xml;springmvc-beginners-guide/Chapter 9/webflow/webstore/pom.xml;springmvc-rest-helloworld/pom.xml;springmvc-springdata-mongodb/pom.xml;workflow-activiti-example/pom.xml;workflow-activiti-example/spring-activiti-webapp/pom.xml;workflow-activiti-example/workflow-activiti-springmvc-example/pom.xml;xml-tutorials/pom.xml;xml-tutorials/xml-2-properties/pom.xml;xml-tutorials/xml-dom-example/pom.xml;xml-tutorials/xml-jaxb-example/pom.xml;xml-tutorials/xml-jdom-example/pom.xml;xml-tutorials/xml-sax-example/pom.xml;xml-tutorials/xml-stax-example/pom.xml;xml-tutorials/xml-xmlpull-example/pom.xml;xml-tutorials/xml-xom-example/pom.xml;xml-tutorials/xml-xstream-example/pom.xml;,spring3-mvc-simple/build.gradle;springmvc-beginners-guide/Appendix/code/webstore/build.gradle;,.travis.yml;,,,mvn-project-demo/pom.xml;mvn-project-demo/user-dao/pom.xml;mvn-project-demo/user-model/pom.xml;mvn-project-demo/user-service/pom.xml;mvn-project-demo/user-web/pom.xml;pom.xml;,mvn-project-demo/pom.xml;mvn-project-demo/user-dao/pom.xml;mvn-project-demo/user-model/pom.xml;mvn-project-demo/user-service/pom.xml;mvn-project-demo/user-web/pom.xml;pom.xml;,,,,,,,,,,,
codepath/android-rottentomatoes-demo,https://github.com/codepath/android-rottentomatoes-demo,master,1d7aed03cd07f9c95ef77c65892717119ccea648,68,333,,build.gradle;,,,,,,,,,,,,,,,,
michaelliao/learn-sql,https://github.com/michaelliao/learn-sql,master,52db2c345a2d6bac45bb2d5378e41e47b326bd15,94,333,mysql/java/pom.xml;,,,,,,,,,,,,,,,,,
itext/itext7,https://github.com/itext/itext7,develop,ddc240ef14f65c30db5d4852a032a3d868193a23,1283,335,barcodes/pom.xml;commons/pom.xml;font-asian/pom.xml;forms/pom.xml;hyph/pom.xml;io/pom.xml;itextcore/pom.xml;kernel/pom.xml;layout/pom.xml;pdfa/pom.xml;pdftest/pom.xml;pom.xml;sign/pom.xml;styled-xml-parser/pom.xml;svg/pom.xml;,,,,pom.xml;,,font-asian/pom.xml;hyph/pom.xml;pom.xml;,,,,,,,,,,,
chwshuang/web,https://github.com/chwshuang/web,master,b70de533fa3a3462f72d5c230bcfc5fb179f4e0e,497,336,back/pom.xml;bean/pom.xml;cache/pom.xml;dao/pom.xml;pom.xml;service/pom.xml;task/pom.xml;,,,,,,,,,,,,,,,,,
pluralsight-projects/java-spring-basic-blog,https://github.com/pluralsight-projects/java-spring-basic-blog,master,006c3671899d66a25141478a52118380e6fde5e7,2,364,pom.xml;,,,,,,,,,,,,,,,,,
next-step/java-bowling,https://github.com/next-step/java-bowling,master,a2537a0893f941ab60797a762941b698cdfb906b,13,365,,build.gradle;settings.gradle;,,,,,,,,,,,,,,,,
seeditsolution/javaprogram,https://github.com/seeditsolution/javaprogram,master,8777f00397fb291aedbea0862e5f7c8324325bd8,6,399,Note_Taker/pom.xml;Note_Taker/target/m2e-wtp/web-resources/META-INF/maven/com.learn/Note_Taker/pom.xml;,,,,,,,,,,,,,,,,,
googlearchive/AndroidChat,https://github.com/googlearchive/AndroidChat,master,f678bec02c16f2018ea3405f3f5e0f8f6a7a3515,503,405,,app/build.gradle;build.gradle;settings.gradle;,,,,,,,,,,,,,,,,
UniversalMediaServer/UniversalMediaServer,https://github.com/UniversalMediaServer/UniversalMediaServer,main,b97edcb300ef723c164f507a373cf11ee38fc448,1720,405,pom.xml;,,,.github/workflows/ci.yaml;,,pom.xml;,pom.xml;,,,,,,,,,,,
woozzu/IndexableListView,https://github.com/woozzu/IndexableListView,master,dc3bc9e14155a60221d9850011ebd242b388eb06,871,406,,,,,,,,,,,,,,,,,,
mimminito/cardsui-for-android,https://github.com/mimminito/cardsui-for-android,master,4e0ad650bfd47afc07f70144ac34e564118c5300,1,406,,,,,,,,,,,,,,,,,,
apache/accumulo,https://github.com/apache/accumulo,main,4327bee71f63bd7380d6ec2f209414adfe9335e2,921,406,assemble/pom.xml;core/pom.xml;hadoop-mapreduce/pom.xml;iterator-test-harness/pom.xml;minicluster/pom.xml;pom.xml;server/base/pom.xml;server/compaction-coordinator/pom.xml;server/compactor/pom.xml;server/gc/pom.xml;server/manager/pom.xml;server/master/pom.xml;server/monitor/pom.xml;server/native/pom.xml;server/tserver/pom.xml;shell/pom.xml;start/pom.xml;test/pom.xml;,,,.github/workflows/maven-full-its.yaml;.github/workflows/maven-on-demand.yaml;.github/workflows/maven.yaml;.github/workflows/scripts.yaml;,,,pom.xml;,,,,,,,,,,,.github/workflows/maven.yaml;
tyzlmjj/PagerBottomTabStrip,https://github.com/tyzlmjj/PagerBottomTabStrip,master,fae38611c6d35a001455abfa74ea6f8d0abd66a3,2787,406,,app/build.gradle;build.gradle;pager-bottom-tab-strip/build.gradle;pager-bottom-tab-strip/upload_to_maven_central.gradle;settings.gradle;,,,,,,,,build.gradle;,,,,,,,,
BlueMor/DragLayout,https://github.com/BlueMor/DragLayout,master,02267321a423d8b6db77986f7e7d56f27e868716,987,407,,,,,,,,,,,,,,,,,,
