#Project Name,File Name,Jobs Name,Status without Instrumentation,Status with Instrumentation
99-problems,Java CI.json,"Test JDK 11, windows-latest",success,failure
99-problems,Java CI.json,"Test JDK 15, windows-latest",success,failure
mvnwebapp,Java CI with Maven.json,build,failure,failure
spring-petclinic-rest,Java CI with Maven.json,build,success,success
pipelines-java,CodeQL.json,Analyze (java),success,success
jv-linked-list,Java CI.json,build,failure,failure
commons-lang,Java CI.json,"build (8, false)",cancelled,cancelled
commons-lang,Java CI.json,"build (11, false)",failure,failure
commons-lang,Java CI.json,"build (17, false)",cancelled,cancelled
github-api,CI.json,site (Java 11),success,success
github-api,CI.json,build-only (Java 17),success,success
github-api,CI.json,"test (ubuntu, Java 8)",success,success
github-api,CI.json,"test (ubuntu, Java 11)",success,success
github-api,CI.json,"test (ubuntu, Java 17)",success,success
github-api,CI.json,"test (windows, Java 11)",success,failure
github-api,CI.json,"test (windows, Java 17)",success,failure
bazel,release-helper.json,release-helper,failure,failure
